sa2_code,sa2_name,sa3_name,sa4_name,gccsa_name,erp_2024,erp_2025,erp_change_no,erp_change_pct,area_km2,pop_density_2025
201011001,Alfredton,Ballarat,Ballarat,Rest of Vic.,20082,20825,743,3.7,52.7,395.1
201011002,Ballarat,Ballarat,Ballarat,Rest of Vic.,11714,11668,-46,-0.4,12.4,942.6
201011005,Buninyong,Ballarat,Ballarat,Rest of Vic.,7320,7384,64,0.9,51.6,143.1
201011006,Delacombe,Ballarat,Ballarat,Rest of Vic.,14218,15255,1037,7.3,34.2,446.6
201011007,Smythes Creek,Ballarat,Ballarat,Rest of Vic.,4255,4250,-5,-0.1,104.7,40.6
201011008,Wendouree - Miners Rest,Ballarat,Ballarat,Rest of Vic.,15518,15548,30,0.2,67.6,230.1
201011481,Ballarat East - Warrenheip,Ballarat,Ballarat,Rest of Vic.,9672,9771,99,1,19.2,508.5
201011482,Ballarat North - Invermay,Ballarat,Ballarat,Rest of Vic.,15118,15204,86,0.6,73.1,207.9
201011483,Canadian - Mount Clear,Ballarat,Ballarat,Rest of Vic.,12410,12518,108,0.9,22.3,562
201011484,Sebastopol - Redan,Ballarat,Ballarat,Rest of Vic.,12789,12766,-23,-0.2,10.6,1206.5
201021009,Bacchus Marsh Surrounds,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.,6707,6770,63,0.9,1038.8,6.5
201021010,Creswick - Clunes,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.,7966,8038,72,0.9,856.8,9.4
201021011,Daylesford,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.,10218,10342,124,1.2,920.8,11.2
201021012,Gordon (Vic.),Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.,6506,6557,51,0.8,850.3,7.7
201031013,Avoca,Maryborough - Pyrenees,Ballarat,Rest of Vic.,3614,3609,-5,-0.1,1714.2,2.1
201031014,Beaufort,Maryborough - Pyrenees,Ballarat,Rest of Vic.,4811,4816,5,0.1,1863,2.6
201031015,Golden Plains - North,Maryborough - Pyrenees,Ballarat,Rest of Vic.,4964,5021,57,1.1,922.1,5.4
201031016,Maryborough (Vic.),Maryborough - Pyrenees,Ballarat,Rest of Vic.,8195,8229,34,0.4,45.5,180.7
201031017,Maryborough Surrounds,Maryborough - Pyrenees,Ballarat,Rest of Vic.,5679,5714,35,0.6,1627.6,3.5
202011018,Bendigo,Bendigo,Bendigo,Rest of Vic.,14422,14457,35,0.2,16.1,899.1
202011019,California Gully - Eaglehawk,Bendigo,Bendigo,Rest of Vic.,13448,13523,75,0.6,32.9,410.6
202011020,East Bendigo - Kennington,Bendigo,Bendigo,Rest of Vic.,13961,13941,-20,-0.1,17.1,812.9
202011021,Flora Hill - Spring Gully,Bendigo,Bendigo,Rest of Vic.,9530,9534,4,0,13.2,722.1
202011022,Kangaroo Flat - Golden Square,Bendigo,Bendigo,Rest of Vic.,21361,21369,8,0,40.9,522.3
202011023,Maiden Gully,Bendigo,Bendigo,Rest of Vic.,5801,5869,68,1.2,43,136.6
202011024,Strathfieldsaye,Bendigo,Bendigo,Rest of Vic.,11457,11705,248,2.2,56.4,207.5
202011025,White Hills - Ascot,Bendigo,Bendigo,Rest of Vic.,15630,16095,465,3,67.8,237.5
202021026,Bendigo Surrounds - South,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,8941,9094,153,1.7,796.9,11.4
202021027,Castlemaine,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,11507,11640,133,1.2,83.9,138.7
202021028,Castlemaine Surrounds,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,9571,9675,104,1.1,1515,6.4
202021029,Heathcote,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,5311,5382,71,1.3,756.8,7.1
202021030,Kyneton,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,10580,10665,85,0.8,556.5,19.2
202021031,Woodend,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.,8008,8084,76,0.9,211.9,38.2
202031032,Bendigo Surrounds - North,Loddon - Elmore,Bendigo,Rest of Vic.,5361,5505,144,2.7,1440.2,3.8
202031033,Loddon,Loddon - Elmore,Bendigo,Rest of Vic.,7224,7231,7,0.1,6193.3,1.2
203011034,Bannockburn,Barwon - West,Geelong,Rest of Vic.,8266,8395,129,1.6,192.1,43.7
203011035,Golden Plains - South,Barwon - West,Geelong,Rest of Vic.,8732,8954,222,2.5,1484.5,6
203011036,Winchelsea,Barwon - West,Geelong,Rest of Vic.,6921,7079,158,2.3,903.3,7.8
203021037,Belmont,Geelong,Geelong,Rest of Vic.,15085,15227,142,0.9,9.4,1625.5
203021039,Geelong,Geelong,Geelong,Rest of Vic.,13690,13719,29,0.2,12.8,1070.4
203021040,Geelong West - Hamlyn Heights,Geelong,Geelong,Rest of Vic.,22084,22415,331,1.5,32,699.6
203021042,Highton,Geelong,Geelong,Rest of Vic.,25546,25794,248,1,40.6,635.5
